datetime,R_CS_RB,Cum_R_CS_RB,Equity_CS_RB
2020-03-03 22:00:00+00:00,0.0,0.0,1.0
2020-03-03 23:00:00+00:00,0.0,0.0,1.0
2020-03-04 00:00:00+00:00,-0.0010597353439113944,-0.0010597353439113944,0.9989408259772867
2020-03-04 01:00:00+00:00,0.0020772903823717635,0.001017555038460369,1.0010180729232323
2020-03-04 02:00:00+00:00,-0.0004596735707859291,0.00055788146767444,1.000558037112483
2020-03-04 03:00:00+00:00,-0.0010373877256205065,-0.0004795062579460665,0.9995206086868067
2020-03-04 04:00:00+00:00,-0.0010528858120789927,-0.0015323920700250591,0.9984687814431991
2020-03-04 05:00:00+00:00,-0.0018186909503216946,-0.0033510830203467537,0.9966545255916339
2020-03-04 06:00:00+00:00,-0.0004169707640309848,-0.0037680537843777385,0.9962390364220612
2020-03-04 07:00:00+00:00,0.0015889445664232526,-0.002179109217954486,0.997823263316887
2020-03-04 08:00:00+00:00,-0.0003315434560441956,-0.0025106526739986815,0.9974924963784824
2020-03-04 09:00:00+00:00,-0.0030439828246301487,-0.00555463549862883,0.9944607629649892
2020-03-04 10:00:00+00:00,-0.0008746399198602478,-0.0064292754184890775,0.9935913481508418
2020-03-04 11:00:00+00:00,-0.0006087655689638375,-0.007038040987452915,0.992986668021363
2020-03-04 12:00:00+00:00,5.803234759401213e-05,-0.006980008639858903,0.9930442950409374
2020-03-04 13:00:00+00:00,7.886236428459703e-05,-0.006901146275574306,0.9931226119499713
2020-03-04 14:00:00+00:00,-0.0017166181997755167,-0.008617764475349822,0.9914192620187186
2020-03-04 15:00:00+00:00,-0.0018598554834230682,-0.01047761995877289,0.9895770790959058
2020-03-04 16:00:00+00:00,-0.0006108039239427598,-0.011088423882715649,0.9889728260917895
2020-03-04 17:00:00+00:00,-0.0013874609890532628,-0.012475884871768912,0.9876016163463385
2020-03-04 18:00:00+00:00,0.002216500103388895,-0.010259384768380017,0.9897930632049801
2020-03-04 19:00:00+00:00,-0.0038619511015398436,-0.01412133586991986,0.9859779025180673
2020-03-04 20:00:00+00:00,-0.0017527011490204158,-0.015874037018940277,0.9842512914740024
2020-03-04 21:00:00+00:00,0.0003220460401720793,-0.015551990978768198,0.9845683167505833
2020-03-04 22:00:00+00:00,0.0007149593981615828,-0.014837031580606615,0.985272494821145
2020-03-04 23:00:00+00:00,-0.0011086259932394738,-0.01594565757384609,0.9841808013746405
2020-03-05 00:00:00+00:00,-0.0037585429570001355,-0.019704200530846226,0.9804886584405946
2020-03-05 01:00:00+00:00,-0.0013212740828934786,-0.021025474613739704,0.9791940196623029
2020-03-05 02:00:00+00:00,0.0003844382458488258,-0.02064103636789088,0.9795705316617367
2020-03-05 03:00:00+00:00,0.0012768329669862525,-0.019364203400904625,0.9808220784481156
2020-03-05 04:00:00+00:00,0.002555388375828319,-0.016808815025076307,0.9833316649045319
2020-03-05 05:00:00+00:00,-0.0034178724362310016,-0.02022668746130731,0.9799764997408589
2020-03-05 06:00:00+00:00,-0.0012393104282179077,-0.021465997889525218,0.9787627569027477
2020-03-05 07:00:00+00:00,0.0003736714711648565,-0.021092326418360362,0.9791285609630551
2020-03-05 08:00:00+00:00,-0.0009018337855939279,-0.02199416020395429,0.9782459477913471
