datetime,R_PASSIVE_EQUAL,Cum_R_PASSIVE_EQUAL,Equity_PASSIVE_EQUAL
2020-03-26 10:00:00+00:00,0.0,0.0,1.0
2020-03-26 11:00:00+00:00,-0.002484738684279662,-0.002484738684279662,0.9975183457237068
2020-03-26 12:00:00+00:00,0.0028228547614930054,0.00033811607721334364,1.000338173244897
2020-03-26 13:00:00+00:00,0.002103943028858788,0.0024420591060721314,1.002445043361159
2020-03-26 14:00:00+00:00,-0.00536297695407521,-0.0029209178480030782,0.9970833438821366
2020-03-26 15:00:00+00:00,0.0010302440162656321,-0.0018906738317374461,0.9981111123661484
2020-03-26 16:00:00+00:00,0.0021563353209716955,0.0002656614892342494,1.0002656967803727
2020-03-26 17:00:00+00:00,-0.000603987082388154,-0.00033832559315390457,0.9996617316324957
2020-03-26 18:00:00+00:00,0.0005414968293570865,0.00020317123620318194,1.0002031918768766
2020-03-26 19:00:00+00:00,0.0027075042417340498,0.0029106754779372316,1.0029149156066877
2020-03-26 20:00:00+00:00,0.004350753040718107,0.007261428518655338,1.0072878566205847
2020-03-26 21:00:00+00:00,0.0031008390849474104,0.010362267603602749,1.0104161418241098
2020-03-26 22:00:00+00:00,0.00387801247176675,0.0142402800753695,1.014342155869224
2020-03-26 23:00:00+00:00,0.01252957096681827,0.02676985104218777,1.027131382341394
2020-03-27 00:00:00+00:00,0.006320898473764764,0.03309074951595253,1.0336443377084725
2020-03-27 01:00:00+00:00,-0.0055121221160130615,0.027578627399939472,1.0279624379434973
2020-03-27 02:00:00+00:00,-0.000552729472908413,0.02702589792703106,1.0273944098044114
2020-03-27 03:00:00+00:00,0.00342911144894128,0.030455009375972338,1.0309235071134804
2020-03-27 04:00:00+00:00,-0.008293861043857926,0.02216114833211441,1.0224085306252475
2020-03-27 05:00:00+00:00,-0.009968268231360083,0.012192880100754328,1.012267516298263
2020-03-27 06:00:00+00:00,-0.0006799897674852457,0.011512890333269082,1.011579418721392
2020-03-27 07:00:00+00:00,0.00896511510210369,0.020478005435372773,1.0206891183835285
2020-03-27 08:00:00+00:00,-0.0061837610970973565,0.014294244338275416,1.0143968955729805
2020-03-27 09:00:00+00:00,-0.003744450281917402,0.010549794056358013,1.0106056393463365
2020-03-27 10:00:00+00:00,0.0012355852466341814,0.011785379302992194,1.0118551005134104
2020-03-27 11:00:00+00:00,0.0016620415610533019,0.013447420864045496,1.0135382440840544
2020-03-27 12:00:00+00:00,-0.0024194258563624443,0.011027995007683053,1.0110890274936106
2020-03-27 13:00:00+00:00,-0.005133233949597945,0.005894761058085108,1.0059121693511508
2020-03-27 14:00:00+00:00,0.003449906251765651,0.009344667309850759,1.0093884650321612
2020-03-27 15:00:00+00:00,0.00526617914090651,0.014610846450757269,1.0147181066183788
2020-03-27 16:00:00+00:00,0.01023931835498648,0.02485016480574375,1.0251615037430588
2020-03-27 17:00:00+00:00,-0.0002495158793276081,0.02460064892641614,1.024905741578687
2020-03-27 18:00:00+00:00,0.004170838560549862,0.028771487486966004,1.0291893849492517
2020-03-27 19:00:00+00:00,-0.0010000982632670974,0.027771389223698907,1.0281606089570807
2020-03-27 20:00:00+00:00,0.0038907398780925325,0.03166212910179144,1.0321687066159662
2020-03-27 21:00:00+00:00,0.003066888467539744,0.03472901756933119,1.0353391120737927
2020-03-27 22:00:00+00:00,-0.003517875809747071,0.031211141759584116,1.0317033165446636
2020-03-27 23:00:00+00:00,-0.048976179684221154,-0.017765037924637038,0.9823918300660966
2020-03-28 00:00:00+00:00,-0.00967255091019452,-0.027437588834831557,0.9729354026907425
2020-03-28 01:00:00+00:00,-0.0112670322857897,-0.03870462112062126,0.9620348319529484
2020-03-28 02:00:00+00:00,-0.001772982344546589,-0.04047760346516785,0.9603306723499152
2020-03-28 03:00:00+00:00,-0.01911630869318358,-0.05959391215835143,0.9421470503734851
2020-03-28 04:00:00+00:00,0.01064349916796285,-0.048950412990388575,0.9522283466839999
2020-03-28 05:00:00+00:00,-0.003123744802845026,-0.0520741577932336,0.9492584693193663
2020-03-28 06:00:00+00:00,-0.0002478093170791651,-0.05232196711031276,0.9490232633706691
2020-03-28 07:00:00+00:00,0.004306418392196712,-0.04801554871811605,0.953118967184138
2020-03-28 08:00:00+00:00,0.007481538592759767,-0.04053401012535628,0.9602765048317302
2020-03-28 09:00:00+00:00,7.102131592848844e-05,-0.040462988809427794,0.9603447073546464
