datetime,R_TS_RB,Cum_R_TS_RB,Equity_TS_RB
2020-03-03 10:00:00+00:00,0.0,0.0,1.0
2020-03-03 11:00:00+00:00,0.0,0.0,1.0
2020-03-03 12:00:00+00:00,-0.010618744416431285,-0.010618744416431285,0.9894374354211078
2020-03-03 13:00:00+00:00,-0.003744022486618082,-0.014362766903049367,0.9857398855879124
2020-03-03 14:00:00+00:00,-0.008907928264627125,-0.02327069516767649,0.9769979793430188
2020-03-03 15:00:00+00:00,0.00039897947670243126,-0.02287171569097406,0.9773878592574267
2020-03-03 16:00:00+00:00,0.0005053026704089508,-0.02236641302056511,0.9778818607523608
2020-03-03 17:00:00+00:00,-0.00413427867802042,-0.02650069169858553,0.9738473702264536
2020-03-03 18:00:00+00:00,-0.004825284827683892,-0.03132597652626942,0.9691595982993896
2020-03-03 19:00:00+00:00,0.0036767944185465114,-0.027649182107722912,0.9727295578830316
2020-03-03 20:00:00+00:00,-0.0007540540196064988,-0.02840323612732941,0.971996343726203
2020-03-03 21:00:00+00:00,-0.00619166840624929,-0.0345949045335787,0.9659966578737965
2020-03-03 22:00:00+00:00,0.0042398102231334354,-0.030355094310445262,0.970100995036401
2020-03-03 23:00:00+00:00,-0.002538136983497169,-0.032893231293942435,0.9676418679440517
2020-03-04 00:00:00+00:00,-0.003946067875373682,-0.036839299169316116,0.9638310113485319
2020-03-04 01:00:00+00:00,0.003013947162024214,-0.0338253520072919,0.9667403291526027
2020-03-04 02:00:00+00:00,0.0007477625095681732,-0.03307758949772373,0.9674634916704439
2020-03-04 03:00:00+00:00,-0.0008704404887124429,-0.03394802998643617,0.9666217386770336
2020-03-04 04:00:00+00:00,-0.004514111903269209,-0.038462141889705384,0.962268133703386
2020-03-04 05:00:00+00:00,-0.0007933979880614706,-0.03925553987776685,0.9615049748864979
2020-03-04 06:00:00+00:00,-0.000780935227102005,-0.04003647510486886,0.9607543948958985
2020-03-04 07:00:00+00:00,-0.0007973280862891212,-0.04083380319115798,0.9599886637428665
2020-03-04 08:00:00+00:00,0.0006099821905150683,-0.04022382100064291,0.9605744183626268
