datetime,R_CS,Cum_R_CS,Equity_CS
2020-03-26 10:00:00+00:00,0.0,0.0,1.0
2020-03-26 11:00:00+00:00,0.0009605105592940203,0.0009605105592940203,1.000960971997288
2020-03-26 12:00:00+00:00,0.0018731599834168394,0.0028336705427108597,1.0028376891820199
2020-03-26 13:00:00+00:00,-0.0004963210269915556,0.002337349515719304,1.0023400832465785
2020-03-26 14:00:00+00:00,0.0027711407593316003,0.005108490275050904,1.0051215608590016
2020-03-26 15:00:00+00:00,8.457466301721483e-05,0.005193064938068119,1.0052065722711576
2020-03-26 16:00:00+00:00,0.00044486326970810956,0.005637928207776228,1.0056538512352449
2020-03-26 17:00:00+00:00,0.0006094586016755985,0.0062473868094518265,1.0062669424330632
2020-03-26 18:00:00+00:00,-0.002206754261178316,0.0040406325482735105,1.0040488069101245
2020-03-26 19:00:00+00:00,0.0010311784355068357,0.005071810983780347,1.0050846943886307
2020-03-26 20:00:00+00:00,0.0004952558822304077,0.005567066866010754,1.005582591778795
2020-03-26 21:00:00+00:00,-0.005243478374283421,0.000323588491727333,1.000323640852131
2020-03-26 22:00:00+00:00,0.0018760188905722459,0.002199607382299579,1.0022020282933102
2020-03-26 23:00:00+00:00,-0.004525876964529568,-0.002326269582229989,0.9976764340859612
2020-03-27 00:00:00+00:00,-0.0006447821304058536,-0.002971051712635843,0.9970333574937628
2020-03-27 01:00:00+00:00,-0.001035473794771733,-0.004006525507407576,0.9960014899076851
2020-03-27 02:00:00+00:00,-0.002115990601143306,-0.006122516108550882,0.9938961883010478
2020-03-27 03:00:00+00:00,0.0009305180715380435,-0.005191998037012839,0.9948214570883954
2020-03-27 04:00:00+00:00,0.00014666735825291188,-0.0050453306787599265,0.9949673756239213
2020-03-27 05:00:00+00:00,-0.0003085981749874694,-0.005353928853747396,0.9946603778795399
2020-03-27 06:00:00+00:00,0.0014468802364070552,-0.00390704861734034,0.9961005739666088
2020-03-27 07:00:00+00:00,-0.0004323871747336839,-0.0043394357920740236,0.9956699659550803
2020-03-27 08:00:00+00:00,0.002787446763484857,-0.0015519890285891663,0.9984492146835867
2020-03-27 09:00:00+00:00,0.0015152986445064402,-3.669038408272616e-05,0.9999633102890012
2020-03-27 10:00:00+00:00,0.0023197290020454233,0.002283038617962697,1.0022856467350612
2020-03-27 11:00:00+00:00,0.004539668694849244,0.006822707312811941,1.0068460350028399
2020-03-27 12:00:00+00:00,-0.003045914027267023,0.003776793285544918,1.003783934356592
2020-03-27 13:00:00+00:00,0.00037906681446176795,0.004155860100006686,1.0041645076617947
2020-03-27 14:00:00+00:00,0.0024838310149755544,0.00663969111498224,1.0066617827308033
2020-03-27 15:00:00+00:00,0.001428066904356563,0.008067758019338803,1.0081003900758823
2020-03-27 16:00:00+00:00,-0.007437581904657639,0.0006301761146811635,1.000630374717365
2020-03-27 17:00:00+00:00,-0.0010431473043630312,-0.0004129711896818677,0.9995871140711827
2020-03-27 18:00:00+00:00,0.0035662984845801216,0.003153327294898254,1.0031583042613723
2020-03-27 19:00:00+00:00,4.592060116528863e-05,0.0031992478960635425,1.003204370951465
2020-03-27 20:00:00+00:00,-0.00046397123999135977,0.0027352766560721827,1.002739020938369
2020-03-27 21:00:00+00:00,-0.002256308482038984,0.00047896817403319863,1.0004790828976047
2020-03-27 22:00:00+00:00,0.00019358855537525248,0.0006725567294084511,1.0006727829463973
2020-03-27 23:00:00+00:00,-0.002123141942566629,-0.001450585213158178,0.9985504663770369
2020-03-28 00:00:00+00:00,0.0015781655639492257,0.00012758035079104765,1.0001275884895102
2020-03-28 01:00:00+00:00,0.00047744847262731153,0.0006050288234183592,1.0006052118902753
2020-03-28 02:00:00+00:00,-0.00010097559019781282,0.0005040532332205464,1.0005041802893984
2020-03-28 03:00:00+00:00,-0.002223344952767675,-0.0017192917195471287,0.9982821854157978
2020-03-28 04:00:00+00:00,-0.0010202550768038455,-0.002739546796350974,0.9972642023375496
