strategy,t1,t2,n_obs,mean,std,ann_mean,ann_vol,sharpe,cum_log_return,cum_simple_return,max_drawdown
passive_equal,12,168,3781,5.631976705828806e-05,0.010349229331557838,0.49336115943060344,0.9686347910089083,0.5093366086063557,0.21294503924738717,0.23731664552073672,-0.5727972023372683
returns_CS,12,168,3781,-0.0003570172812064614,0.003237186318318902,-3.1274713833686016,0.3029840379843749,-10.322231508215253,-1.3498823402416305,-0.7407292354131733,-0.7410182627882952
returns_TS,12,168,3781,-0.0002593972093729752,0.008779612446426407,-2.2723195541072627,0.8217267000984831,-2.7652984305304034,-0.9807808486392193,-0.6249818479209934,-0.7161356844979223
signal_CS,12,168,3781,-9.71167127137043e-06,0.003211804399387592,-0.08507424033720497,0.30060842053965703,-0.28300684386843966,-0.0367198290770516,-0.03605383279291141,-0.250798134357204
signal_TS,12,168,3781,1.500208639697415e-05,0.0039993070646157924,0.13141827683749355,0.3743146314191732,0.35109040845995104,0.056722888666959265,0.05836248551635137,-0.2771334542131574
passive_equal,12,720,2677,0.00022397959814204787,0.007558830815002742,1.9620612797243393,0.7074677999873598,2.773357712901414,0.5995933842262622,0.8213780487555016,-0.18303316861753116
returns_CS,12,720,2677,-0.00023009990998991195,0.003452322060827572,-2.0156752115116285,0.32311964019274375,-6.238169893694052,-0.6159774590429943,-0.4598873008357125,-0.5120620054938444
returns_TS,12,720,2677,-0.0001269965440824074,0.006123518573164672,-1.112489726161889,0.573129934928564,-1.9410776830223528,-0.3399697485086046,-0.28820814479790313,-0.4544479381539662
signal_CS,12,720,2677,-1.698815390429561e-05,0.0034253201310022493,-0.14881622820162954,0.3205923980363221,-0.4641913816832585,-0.04547728800179935,-0.04445869542210423,-0.19565101317697253
signal_TS,12,720,2677,-1.0740068916679828e-05,0.002356224635427452,-0.0940830037101153,0.2205305423417224,-0.42662119591729514,-0.0287511644899519,-0.02834178254487385,-0.16007833888223533
passive_equal,24,168,3781,6.123912263583154e-05,0.01034525582296473,0.5364547142898843,0.9682628909821188,0.5540382878308523,0.23154512268607905,0.26054620452503374,-0.5727972023372683
returns_CS,24,168,3781,-0.00035516265376687626,0.0032341077207527925,-3.111224846997836,0.30269589704029937,-10.278384601240973,-1.3428699938925592,-0.73890474952651,-0.7391702931885898
returns_TS,24,168,3781,-0.00024613166509071483,0.008782937339142968,-2.156113386194662,0.8220378930055543,-2.62288807430936,-0.9306238257079928,-0.6056923456201064,-0.7111925643732991
signal_CS,24,168,3781,-1.292718582865152e-05,0.0031553151097544487,-0.11324214785898731,0.29532131272659584,-0.3834540311820476,-0.048877689618131395,-0.047702401541389605,-0.16174295909153702
signal_TS,24,168,3781,3.596191337651423e-05,0.004213595283234403,0.31502636117826466,0.3943709097378279,0.7988072989148455,0.1359719944766003,0.14564980862306243,-0.2695560209518447
passive_equal,24,720,2677,0.00021866010614527182,0.007561313883051571,1.9154625298325811,0.7077002024226989,2.7066016418750487,0.5853531041508927,0.7956249163229356,-0.18303316861753138
returns_CS,24,720,2677,-0.00023700376958474183,0.003393781123693091,-2.0761530215623383,0.31764050869511484,-6.536172071034932,-0.6344590911783539,-0.4697777873630312,-0.5185429999195454
returns_TS,24,720,2677,-0.00012758233814215135,0.006142483483801233,-1.1176212821252458,0.5749049533055298,-1.944010528521734,-0.3415379192065392,-0.2893234811807768,-0.4485008371193967
signal_CS,24,720,2677,-3.616630316898239e-05,0.003525588937247464,-0.31681681576028575,0.32997704408778095,-0.9601177458756971,-0.09681719358336587,-0.09227807163998958,-0.19116053333268168
signal_TS,24,720,2677,-8.024757649818914e-06,0.0024980064149972,-0.07029687701241369,0.23380058980348264,-0.300670229581117,-0.02148227622856523,-0.021253175599571184,-0.1475605785956846
