datetime,R_CS_daily,Cum_R_CS_daily,Equity_R_CS_daily
2020-03-03 00:00:00+00:00,-0.005534864238607656,-0.005534864238607656,0.9944804249016846
2020-03-04 00:00:00+00:00,-0.0021203943662711465,-0.007655258604878802,0.9923739682599858
2020-03-05 00:00:00+00:00,-0.004628650613109283,-0.012283909217988085,0.987791230012333
2020-03-06 00:00:00+00:00,-0.004472292863187982,-0.016756202081176067,0.9833834022392677
2020-03-07 00:00:00+00:00,-0.0009997745414742913,-0.017755976622650358,0.982400731855469
2020-03-08 00:00:00+00:00,0.009810466147814636,-0.007945510474835722,0.9920859716577998
2020-03-09 00:00:00+00:00,-0.0021335238982488633,-0.010079034373084585,0.9899715888732933
2020-03-10 00:00:00+00:00,0.0023379730660033453,-0.007741061307081239,0.9922888235447893
2020-03-11 00:00:00+00:00,0.006587843336660622,-0.0011532179704206178,0.9988474467298837
2020-03-12 00:00:00+00:00,0.06383380848170545,0.06268059051128483,1.0646867138756433
2020-03-13 00:00:00+00:00,0.01702201230417129,0.07970260281545612,1.082964949051939
2020-03-14 00:00:00+00:00,0.015921135541679933,0.09562373835713606,1.100344968489176
2020-03-15 00:00:00+00:00,-0.006134877872848625,0.08948886048428743,1.0936151509013408
2020-03-16 00:00:00+00:00,0.0007809106592490027,0.09026977114353643,1.0944695001716052
2020-03-17 00:00:00+00:00,-0.000633564556376272,0.08963620658716016,1.0937763027041223
2020-03-18 00:00:00+00:00,0.041754367310244574,0.13139057389740474,1.1404131099324595
2020-03-19 00:00:00+00:00,-0.022030881222745734,0.109359692674659,1.1155635382177658
2020-03-20 00:00:00+00:00,0.013469495565559916,0.12282918824021892,1.1306912690862125
2020-03-21 00:00:00+00:00,-0.00012049477697070974,0.12270869346324821,1.13055503490184
2020-03-22 00:00:00+00:00,-0.009273685557569395,0.11343500790567881,1.1201190876412583
2020-03-23 00:00:00+00:00,0.020056878111637883,0.1334918860173167,1.1428119933407654
2020-03-24 00:00:00+00:00,0.004554676150754229,0.13804656216807093,1.148029003749137
2020-03-25 00:00:00+00:00,-0.012185309705218878,0.12586125246285204,1.1341248003432043
2020-03-26 00:00:00+00:00,0.021102472602591717,0.14696372506544375,1.1583119445777663
2020-03-27 00:00:00+00:00,-0.00404233834261941,0.14292138672282434,1.1536391067502851
2020-03-28 00:00:00+00:00,0.0005624560711104976,0.14348384279393483,1.1542881605847712
2020-03-29 00:00:00+00:00,-0.007981602420177826,0.13550224037375702,1.1451117613099007
2020-03-30 00:00:00+00:00,-0.019822258257234604,0.11567998211652242,1.1226365508687823
2020-03-31 00:00:00+00:00,0.004401266873151926,0.12008124898967434,1.1275884632810562
2020-04-01 00:00:00+00:00,0.0012872482240661727,0.12136849721374052,1.129040884140422
2020-04-02 00:00:00+00:00,0.013035062914944245,0.13440356012868476,1.1438543405175277
2020-04-03 00:00:00+00:00,0.011239662573551176,0.14564322270223595,1.1567834003628572
2020-04-04 00:00:00+00:00,-0.0028845711283331586,0.1427586515739028,1.1534513843933736
