datetime,R_TS_RB_daily,Cum_R_TS_RB_daily,Equity_R_TS_RB_daily
2020-03-03 00:00:00+00:00,-0.032893231293942435,-0.032893231293942435,0.9676418679440517
2020-03-04 00:00:00+00:00,-0.020813010143845914,-0.05370624143778835,0.9477104636780976
2020-03-05 00:00:00+00:00,0.012609560551294674,-0.041096680886493674,0.959736337302343
2020-03-06 00:00:00+00:00,-0.01340854449338264,-0.054505225379876315,0.9469535606528172
2020-03-07 00:00:00+00:00,-0.007504456097952486,-0.0620096814778288,0.9398737873798068
2020-03-08 00:00:00+00:00,0.11923007359224541,0.05722039211441661,1.0588891555007587
2020-03-09 00:00:00+00:00,-0.07097579133321427,-0.013755399218797662,0.9863387739938179
2020-03-10 00:00:00+00:00,-0.04480784978442058,-0.05856324900321824,0.9431185872026268
2020-03-11 00:00:00+00:00,-0.05408548365315917,-0.11264873265637741,0.893464449884672
2020-03-12 00:00:00+00:00,0.22639154489218963,0.11374281223581222,1.1204639182141485
2020-03-13 00:00:00+00:00,-0.15182672177430187,-0.038083909538489655,0.9626321634816764
2020-03-14 00:00:00+00:00,-0.05208637109144035,-0.09017028062993,0.9137755737424781
2020-03-15 00:00:00+00:00,-0.23183263227764747,-0.3220029129075775,0.7246960793541274
2020-03-16 00:00:00+00:00,0.10105588545874954,-0.22094702744882794,0.8017591503929323
2020-03-17 00:00:00+00:00,0.01988576561596579,-0.20106126183286216,0.8178623262739679
2020-03-18 00:00:00+00:00,-0.06212766187420572,-0.26318892370706787,0.7685966774603101
2020-03-19 00:00:00+00:00,-0.013328909405503617,-0.2765178331125715,0.7584200940201603
2020-03-20 00:00:00+00:00,-0.023173441628750933,-0.29969127474132246,0.7410469652863326
2020-03-21 00:00:00+00:00,-0.11325057682342873,-0.41294185156475116,0.6617007585728993
2020-03-22 00:00:00+00:00,0.01207219686684912,-0.40086965469790203,0.6697373524663307
2020-03-23 00:00:00+00:00,-0.08991192741496881,-0.4907815821128708,0.6121477634218354
2020-03-24 00:00:00+00:00,-0.03229282714836983,-0.5230744092612406,0.59269555531616
2020-03-25 00:00:00+00:00,-0.013742187306567417,-0.536816596567808,0.5846063310986395
2020-03-26 00:00:00+00:00,0.005522410058891448,-0.5312941865089166,0.5878436977876772
2020-03-27 00:00:00+00:00,0.03245256852897649,-0.4988416179799401,0.6072336610168849
2020-03-28 00:00:00+00:00,-0.009960281516514607,-0.5088018994964547,0.601215464028925
2020-03-29 00:00:00+00:00,-0.01841736467363943,-0.5272192641700941,0.5902440024095711
2020-03-30 00:00:00+00:00,0.02220946259708681,-0.5050098015730073,0.6034996601520722
2020-03-31 00:00:00+00:00,-0.008213008094420467,-0.5132228096674278,0.5985634110324938
2020-04-01 00:00:00+00:00,0.05428843898108469,-0.45893437068634313,0.6319567184242325
2020-04-02 00:00:00+00:00,-0.03445369174162891,-0.49338806242797206,0.6105542899073542
2020-04-03 00:00:00+00:00,0.007851293896711353,-0.4855367685312607,0.6153667985658873
2020-04-04 00:00:00+00:00,-0.022501761017420636,-0.5080385295486813,0.601674589065133
2020-04-05 00:00:00+00:00,-0.023988269037599846,-0.5320267985862812,0.5874131941104269
2020-04-06 00:00:00+00:00,-0.012292115318976725,-0.5443189139052579,0.5802368400341686
2020-04-07 00:00:00+00:00,-0.00862645043938462,-0.5529453643446425,0.5752529830943264
2020-04-08 00:00:00+00:00,0.003537097712745918,-0.5494082666318966,0.5772913118639567
2020-04-09 00:00:00+00:00,-0.005859368833003826,-0.5552676354649004,0.5739186396581272
2020-04-10 00:00:00+00:00,0.012570669059881023,-0.5426969664050194,0.5811787173577094
2020-04-11 00:00:00+00:00,-0.012529860166178174,-0.5552268265711976,0.5739420611207858
2020-04-12 00:00:00+00:00,0.033665093101675966,-0.5215617334695216,0.5935927899760342
2020-04-13 00:00:00+00:00,0.011830102739323577,-0.509731630730198,0.6006567549986714
2020-04-14 00:00:00+00:00,0.009623133061323036,-0.500108497668875,0.6064648561197862
2020-04-15 00:00:00+00:00,0.013835055796173314,-0.48627344187270166,0.6149136411851505
2020-04-16 00:00:00+00:00,0.05867832775192507,-0.4275951141207766,0.6520753774702738
2020-04-17 00:00:00+00:00,-0.03000245966502484,-0.45759757378580146,0.6328020811199239
2020-04-18 00:00:00+00:00,0.014381318776857189,-0.4432162550089443,0.6419683632013673
2020-04-19 00:00:00+00:00,0.022602752740938467,-0.4206135022680058,0.6566438437269257
2020-04-20 00:00:00+00:00,0.0677194450607968,-0.352894057207209,0.7026516303102178
2020-04-21 00:00:00+00:00,-0.028192318674962528,-0.38108637588217154,0.6831188820754547
2020-04-22 00:00:00+00:00,-0.008899459146240454,-0.389985835028412,0.6770664650574802
2020-04-23 00:00:00+00:00,0.010396193685303472,-0.3795896413431085,0.6841420952487738
2020-04-24 00:00:00+00:00,0.004046041793196118,-0.3755435995499124,0.6869157701771167
2020-04-25 00:00:00+00:00,0.000321879950286453,-0.37522171959962597,0.6871369101794295
2020-04-26 00:00:00+00:00,-0.004950121176304268,-0.38017184077593025,0.6837439040335478
2020-04-27 00:00:00+00:00,-0.00839639661171605,-0.3885682373876463,0.6780269535132233
2020-04-28 00:00:00+00:00,-0.024976562647207115,-0.4135448000348534,0.6613019073682975
2020-04-29 00:00:00+00:00,0.025967418904655478,-0.3875773811301979,0.6786991137149078
2020-04-30 00:00:00+00:00,0.0290403065508282,-0.35853707457936973,0.6986977214342713
2020-05-01 00:00:00+00:00,-0.04306258281431308,-0.4015996573936828,0.669248620802985
2020-05-02 00:00:00+00:00,-0.002471250893466122,-0.4040709082871489,0.6675967814462774
2020-05-03 00:00:00+00:00,-0.0045097366118753476,-0.4085806448990243,0.6645928743050769
2020-05-04 00:00:00+00:00,0.0175544731507364,-0.3910261717482879,0.6763624542197432
2020-05-05 00:00:00+00:00,0.01590294822396998,-0.37512322352431793,0.6872045938015122
2020-05-06 00:00:00+00:00,-0.007500761191394302,-0.38262398471571224,0.6820693195630971
2020-05-07 00:00:00+00:00,-0.021827408741180394,-0.4044513934568926,0.6673428190890875
2020-05-08 00:00:00+00:00,0.019622585108696335,-0.38482880834819627,0.6805671336443805
2020-05-09 00:00:00+00:00,-0.03948164031725561,-0.42431044866545187,0.6542207484209717
2020-05-10 00:00:00+00:00,0.0333636998176838,-0.3909467488477681,0.6764161750209627
2020-05-11 00:00:00+00:00,-0.023119264229806022,-0.4140660130775741,0.6609573179990389
2020-05-12 00:00:00+00:00,-0.030647688472176058,-0.4447137015497502,0.6410077692950943
2020-05-13 00:00:00+00:00,-0.003558013315040896,-0.4482717148647911,0.6387311077147807
2020-05-14 00:00:00+00:00,-0.04642060372814389,-0.494692318592935,0.6097584897871147
2020-05-15 00:00:00+00:00,0.001164259190478831,-0.49352805940245614,0.6104688201369031
2020-05-16 00:00:00+00:00,-0.023078894574850402,-0.5166069539773065,0.5965412097114203
2020-05-17 00:00:00+00:00,-0.009907774825128087,-0.5265147288024346,0.5906599967089586
2020-05-18 00:00:00+00:00,-0.013388806724516217,-0.5399035355269508,0.5828044695885136
2020-05-19 00:00:00+00:00,-0.03501067705748763,-0.5749142125844384,0.5627531438740416
2020-05-20 00:00:00+00:00,0.017095407903004407,-0.557818804681434,0.5724563421691155
2020-05-21 00:00:00+00:00,0.030745069672382615,-0.5270737350090513,0.5903299063746666
2020-05-22 00:00:00+00:00,0.017883724317171768,-0.5091900106918795,0.6009821708512483
2020-05-23 00:00:00+00:00,-0.02134471775304753,-0.5305347284449271,0.5882903099944821
2020-05-24 00:00:00+00:00,0.0024777190667711717,-0.5280570093781559,0.5897497353887864
2020-05-25 00:00:00+00:00,-0.01715618493486397,-0.5452131943130198,0.5797181775456814
2020-05-26 00:00:00+00:00,-0.05398899886382456,-0.5992021931768444,0.5492496564665171
2020-05-27 00:00:00+00:00,0.0368850124362578,-0.5623171807405867,0.569887001527439
2020-05-28 00:00:00+00:00,-0.0062819095723741815,-0.5685990903129609,0.5663182439595028
2020-05-29 00:00:00+00:00,-0.044024340709892494,-0.6126234310228533,0.5419272936906548
2020-05-30 00:00:00+00:00,-0.0008217528941091685,-0.6134451839169625,0.5414821462942982
2020-05-31 00:00:00+00:00,0.04389959811092625,-0.5695455858060362,0.5657824798830878
2020-06-01 00:00:00+00:00,-0.013336633038119147,-0.5828822188441554,0.5582869402995847
2020-06-02 00:00:00+00:00,-0.020510596995200955,-0.6033928158393563,0.5469527744530165
2020-06-03 00:00:00+00:00,-0.00820156571385278,-0.6115943815532091,0.5424852507182675
2020-06-04 00:00:00+00:00,-0.01568054691248957,-0.6272749284656987,0.5340451310780561
2020-06-05 00:00:00+00:00,-0.006774869043267262,-0.634049797508966,0.530439273649789
2020-06-06 00:00:00+00:00,-0.014155246088094724,-0.6482050435970607,0.5229836676554603
2020-06-07 00:00:00+00:00,0.005243047488189329,-0.6429619961088713,0.5257328967319084
2020-06-08 00:00:00+00:00,-0.02393371510380855,-0.6668957112126799,0.5132995371079111
2020-06-09 00:00:00+00:00,-0.01372161577485362,-0.6806173269875335,0.5063043405379938
2020-06-10 00:00:00+00:00,0.0003708060317695063,-0.680246520955764,0.5064921160533717
2020-06-11 00:00:00+00:00,0.045441387367363785,-0.6348051335884002,0.5300387650068085
2020-06-12 00:00:00+00:00,-0.030052684587502987,-0.6648578181759032,0.5143466532533246
2020-06-13 00:00:00+00:00,0.000994011697981074,-0.6638638064779221,0.5148581740301761
2020-06-14 00:00:00+00:00,-0.017260350023723586,-0.6811241565016457,0.5060477955728577
2020-06-15 00:00:00+00:00,-0.04748068625525601,-0.7286048427569017,0.4825817981356168
2020-06-16 00:00:00+00:00,-0.0013389231019295704,-0.7299437658588314,0.48193609059036113
2020-06-17 00:00:00+00:00,-0.018000015685810618,-0.747943781544642,0.47333884084024913
2020-06-18 00:00:00+00:00,0.0,-0.747943781544642,0.47333884084024913
2020-06-19 00:00:00+00:00,0.0,-0.747943781544642,0.47333884084024913
2020-06-20 00:00:00+00:00,0.0,-0.747943781544642,0.47333884084024913
