datetime,R_CS_RB_daily,Cum_R_CS_RB_daily,Equity_R_CS_RB_daily
2020-03-26 00:00:00+00:00,0.0,0.0,1.0
2020-03-27 00:00:00+00:00,-0.02067899187950287,-0.02067899187950287,0.9795333522666334
2020-03-28 00:00:00+00:00,0.007549802954290095,-0.013129188925212774,0.9869566229185428
2020-03-29 00:00:00+00:00,-0.007382420769790465,-0.02051160969500324,0.9796973224213845
2020-03-30 00:00:00+00:00,0.005984598028261001,-0.014527011666742237,0.9855779962684418
2020-03-31 00:00:00+00:00,-0.0010015173279750297,-0.015528528994717267,0.9845914169477152
2020-04-01 00:00:00+00:00,-0.016680479101159527,-0.03220900809587679,0.9683041775154662
2020-04-02 00:00:00+00:00,-0.0053795504648316075,-0.0375885585607084,0.9631091223863778
2020-04-03 00:00:00+00:00,0.020546715323098323,-0.017041843237610075,0.9831025475807684
2020-04-04 00:00:00+00:00,-0.007357059163447621,-0.024398902401057694,0.9758963447086582
2020-04-05 00:00:00+00:00,-0.02121646143968534,-0.04561536384074304,0.9554093765188691
2020-04-06 00:00:00+00:00,0.005400953143675653,-0.04021441069706738,0.9605834577020419
2020-04-07 00:00:00+00:00,-0.00649472529617963,-0.04670913599324701,0.9543649476363293
2020-04-08 00:00:00+00:00,-0.010733817921990846,-0.057442953915237856,0.9441757503800432
2020-04-09 00:00:00+00:00,-0.02598886267985826,-0.08343181659509612,0.9199538101159912
2020-04-10 00:00:00+00:00,-0.00871928646299134,-0.09215110305808746,0.911967338079826
2020-04-11 00:00:00+00:00,-0.018906266833206807,-0.11105736989129428,0.8948874078630197
2020-04-12 00:00:00+00:00,-0.009573325664195293,-0.12063069555548957,0.8863612363007922
2020-04-13 00:00:00+00:00,-0.0022634848866218884,-0.12289418044211145,0.8843572399017191
2020-04-14 00:00:00+00:00,-0.01825154814324332,-0.14114572858535476,0.8683627572004063
2020-04-15 00:00:00+00:00,-0.008386296551990958,-0.14953202513734573,0.8611108603845409
2020-04-16 00:00:00+00:00,0.014612051388862147,-0.13491997374848358,0.8737858346951378
2020-04-17 00:00:00+00:00,-0.005212471121802027,-0.14013244487028562,0.8692431009847362
2020-04-18 00:00:00+00:00,0.0006438231030720617,-0.13948862176721355,0.8698029199681964
2020-04-19 00:00:00+00:00,0.00802484309282359,-0.13146377867438996,0.876811033820577
2020-04-20 00:00:00+00:00,0.1925498263324774,0.06108604765808742,1.0629903780846155
2020-04-21 00:00:00+00:00,-0.016110752390182073,0.04497529526790535,1.0460020183898795
2020-04-22 00:00:00+00:00,-0.014456850216349267,0.030518445051556084,1.0309889065169349
2020-04-23 00:00:00+00:00,-0.013769767553659867,0.016748677497896217,1.0168897229381149
2020-04-24 00:00:00+00:00,-0.0005646372140078841,0.016184040283888333,1.0163157112274388
2020-04-25 00:00:00+00:00,-0.003043372572072607,0.013140667711815726,1.0132273857136063
2020-04-26 00:00:00+00:00,-0.022900368534999202,-0.009759700823183476,0.9902877704960826
2020-04-27 00:00:00+00:00,-0.01753745406696118,-0.027297154890144656,0.9730720454416837
2020-04-28 00:00:00+00:00,0.009140417525250378,-0.01815673736489428,0.9820071030897362
2020-04-29 00:00:00+00:00,-0.018862842311233828,-0.03701957967612811,0.9636572670671489
2020-04-30 00:00:00+00:00,-0.009485375600960069,-0.04650495527708818,0.9545598304497936
2020-05-01 00:00:00+00:00,-0.00700619419751922,-0.0535111494746074,0.947895372409501
2020-05-02 00:00:00+00:00,-0.005367390833372761,-0.05887854030798016,0.9428212769848485
2020-05-03 00:00:00+00:00,-0.017508377937213077,-0.07638691824519324,0.9264576738250248
2020-05-04 00:00:00+00:00,-0.020163190892014807,-0.09655010913720805,0.9079643991471583
2020-05-05 00:00:00+00:00,-0.00669252876362454,-0.10324263790083259,0.9019081098397675
2020-05-06 00:00:00+00:00,0.011027008770605298,-0.0922156291302273,0.911908494308079
2020-05-07 00:00:00+00:00,-0.023400444674320224,-0.11561607380454753,0.8908171656982202
2020-05-08 00:00:00+00:00,0.00274781965170761,-0.11286825415283991,0.8932683367579083
2020-05-09 00:00:00+00:00,-0.022494546756700613,-0.13536280090954053,0.8733989842548507
2020-05-10 00:00:00+00:00,-0.028469561706683744,-0.16383236261622428,0.8488843146987199
2020-05-11 00:00:00+00:00,-0.029476893821714378,-0.19330925643793864,0.8242270372031175
