datetime,R_TS_daily,Cum_R_TS_daily,Equity_R_TS_daily
2020-03-03 00:00:00+00:00,0.00027819615088743073,0.00027819615088743073,1.0002782348510253
2020-03-04 00:00:00+00:00,-0.003780839941314902,-0.0035026437904274715,0.9965034833105622
2020-03-05 00:00:00+00:00,-0.010082006510433852,-0.013584650300861324,0.986507204651463
2020-03-06 00:00:00+00:00,0.005807749474593094,-0.00777690082626823,0.9922532610277344
2020-03-07 00:00:00+00:00,-0.014374396636643553,-0.022151297462911782,0.9780922409813745
2020-03-08 00:00:00+00:00,0.0524116987760645,0.030260401313152715,1.0307229006073007
2020-03-09 00:00:00+00:00,0.008351649368770026,0.03861205068192274,1.03936718363511
2020-03-10 00:00:00+00:00,0.004726579187511887,0.04333862986943463,1.044291463264678
2020-03-11 00:00:00+00:00,0.0038119745696731534,0.047150604439107784,1.0482798727941394
2020-03-12 00:00:00+00:00,0.2556955674792792,0.302846171918387,1.3537062103956259
2020-03-13 00:00:00+00:00,-0.08269884302157698,0.22014732889681,1.2462603272216515
2020-03-14 00:00:00+00:00,0.023227106580498685,0.24337443547730866,1.2755461444420286
2020-03-15 00:00:00+00:00,0.01721302711984571,0.2605874625971544,1.2976922084199065
2020-03-16 00:00:00+00:00,0.03128249867832607,0.2918699612754804,1.3389288937125516
2020-03-17 00:00:00+00:00,-0.02909498185006524,0.26277497942541517,1.3005340391067188
2020-03-18 00:00:00+00:00,-0.017794725827729597,0.24498025359768558,1.2775960850295143
2020-03-19 00:00:00+00:00,-0.0015534236206669614,0.24342682997701862,1.2756129777949585
2020-03-20 00:00:00+00:00,-0.006310120358735894,0.2371167096182827,1.2675890489766641
2020-03-21 00:00:00+00:00,-0.0038209942487421535,0.23329571536954055,1.2627548401344655
2020-03-22 00:00:00+00:00,-0.009354413802233341,0.2239413015673072,1.2509975856755786
2020-03-23 00:00:00+00:00,-0.020046633311152504,0.2038946682561547,1.2261689921357457
2020-03-24 00:00:00+00:00,0.0075517885946482545,0.21144645685080296,1.2354638132344324
