short_n,long_n,total_return,ann_return_est,ann_vol,sharpe,max_drawdown,position_changes
8,24,inf,inf,1249120.5419487224,-7.006416001873969,,584
8,48,inf,inf,1250181.677636755,-5.84343659035606,,582
8,96,inf,inf,1250355.5713280025,-5.630311813193836,,572
16,24,inf,inf,1250804.7892992597,-5.0386611679447295,,488
16,48,-inf,inf,1251309.0886916316,-4.279007915288131,,440
16,96,inf,inf,1251634.1392042413,-3.7083863652754627,,394
32,24,inf,inf,1251442.8935529909,4.053800612474298,,395
32,48,inf,inf,1251334.7887746328,-4.236675477845501,,340
32,96,inf,inf,1251713.4299615799,-3.5554004531256096,,324
