short_n,long_n,total_return,ann_return_est,ann_vol,sharpe,max_drawdown,position_changes
8,24,0.40779010446106945,2.151086726114587,0.9170057327629073,1.2517070916382917,-0.46941200631059443,92
8,48,0.2762002878029568,1.5627015560049142,0.9170326158338044,1.0262585329531706,-0.4780984416981805,66
8,96,-0.24004277771918114,-0.14371747200127372,0.9170862558846002,-0.16918095348659412,-0.6841329198840604,44
16,24,0.23001451048727195,1.3702032240863962,0.9170413872857381,0.941089705048804,-0.4712989598060071,60
16,48,-0.03457876302058216,0.42036192164635544,0.9170800883708139,0.3826478696499597,-0.580393938330001,46
16,96,-0.09095622329186004,0.2507065765113794,0.917084638908725,0.2439376910680291,-0.5960567058647183,34
32,24,-0.43241099008329276,-0.5408356134845829,0.9170500427225992,-0.8487131325985238,-0.5474088659573746,41
32,48,0.15110114881620063,1.0591838498707746,0.9170552719128123,0.7876728012379262,-0.5280906236919333,34
32,96,-0.1503172748321363,0.08358251407896322,0.9170873533337017,0.08753044267974443,-0.6358897294104037,26
