fsym,N,mean,std,min,median,max,skew,kurtosis
BTC,4141,8751.74750543347,1558.070561906457,4240.69,9146.96,12027.75,-0.28407627251050904,-0.20820180413741873
DASH,4141,75.41242453513644,9.715642475388936,38.27,73.95,104.26,-0.24695218241833963,1.7393317662717642
ETH,4141,222.98987442646703,67.55524251342035,99.23,223.47,442.62,1.0628839268078512,1.3177310784081042
LTC,4141,46.084793528133304,7.078361568868116,26.24,44.11,75.3,1.1351664798689802,1.116163211938665
MAID,4141,0.09353037189084763,0.02412243079672574,0.03802,0.09882,0.1965,-0.42175321446228237,-0.36778899317371927
XMR,4141,63.76084520647186,12.244274464411879,27.83,64.41,95.56,0.13529096776235708,0.769844529791615
XRP,4141,0.20461881188118813,0.034590815096247965,0.124,0.1983,0.3247,1.2787594505603996,1.7542957813129334
